school_id,StudentRegCode,SemesterID,SemesterName,YearID,Year,DivisionID,DivisionName,BranchID,BranchName,Specialization,DeptID,DeptName,CourseLevelPID,CourseLevel,IsCurrentSemester
COEP,41209014,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209001,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209012,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209018,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209022,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209002,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209021,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209004,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209024,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209025,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209006,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209013,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209023,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209003,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209011,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209020,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209008,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209016,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209019,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209005,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209007,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209026,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209017,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209009,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209015,21,Semester I,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209001,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209002,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209003,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209004,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209005,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209006,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209007,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209008,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209009,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209011,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209012,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209013,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209014,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209015,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209016,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209017,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209018,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209019,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209020,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209021,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
COEP,41209022,22,Semester II,9,2013,4290,Div-1,40,Enterprise Resource Planning,,2,,2606,PG Diploma,0
