SchoolID, StudentID, SemesterID, SemesterName, YearID, AcdemicYear, ExtDivisionID, Division, BranchID, Branch, Specialization, DepartmentID, Department, CourseLevelID, CourseLevel, IsCurrentSemester
SESH,783,2013,BCA II - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,813,2013,BCA II - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,850,2013,BCA II - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,811,2013,BCA II - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,851,2013,BCA II - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,774,2013,BCA II - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,767,2013,BCA II - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,785,2013,BCA II - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,796,2013,BCA II - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,812,2013,BCA II - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,792,2013,BCA II - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,758,2013,BCA II - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,723,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,608,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,721,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,574,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,718,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,750,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,579,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,601,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,602,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,572,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,600,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,586,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,646,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,616,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,647,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,656,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,599,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,588,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,581,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,743,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,844,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,634,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,612,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,653,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,620,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,605,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,618,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,660,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,585,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,621,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,575,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,716,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,590,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,654,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,741,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,742,2015,BCA III - SEM 1,2017,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,587,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,650,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,573,2015,BCA III - SEM 1,2016,2016-17,101,Div 1,201,BCA,COMPUTER,373,Department of Bachelor  of Computer Application,373,UG,1
SESH,775,3012,BBA II - YEAR 2,2016,2016-17,101,Div 1,301,BBA,MANAGEMENT,374,Department of Bachelor  of Business Administration,373,UG,1
SESH,771,3012,BBA II - YEAR 2,2016,2016-17,101,Div 1,301,BBA,MANAGEMENT,374,Department of Bachelor  of Business Administration,373,UG,1
SESH,759,3012,BBA II - YEAR 2,2016,2016-17,101,Div 1,301,BBA,MANAGEMENT,374,Department of Bachelor  of Business Administration,373,UG,1
SESH,827,3012,BBA II - YEAR 2,2016,2016-17,101,Div 1,301,BBA,MANAGEMENT,374,Department of Bachelor  of Business Administration,373,UG,1
SESH,825,3012,BBA II - YEAR 2,2016,2016-17,101,Div 1,301,BBA,MANAGEMENT,374,Department of Bachelor  of Business Administration,373,UG,1
SESH,794,3012,BBA II - YEAR 2,2016,2016-17,101,Div 1,301,BBA,MANAGEMENT,374,Department of Bachelor  of Business Administration,373,UG,1
SESH,580,3013,BBA III - YEAR 3,2016,2016-17,101,Div 1,301,BBA,MANAGEMENT,374,Department of Bachelor  of Business Administration,373,UG,1
SESH,584,3013,BBA III - YEAR 3,2016,2016-17,101,Div 1,301,BBA,MANAGEMENT,374,Department of Bachelor  of Business Administration,373,UG,1
SESH,610,3013,BBA III - YEAR 3,2016,2016-17,101,Div 1,301,BBA,MANAGEMENT,374,Department of Bachelor  of Business Administration,373,UG,1
SESH,598,3013,BBA III - YEAR 3,2016,2016-17,101,Div 1,301,BBA,MANAGEMENT,374,Department of Bachelor  of Business Administration,373,UG,1
SESH,637,3013,BBA III - YEAR 3,2016,2016-17,101,Div 1,301,BBA,MANAGEMENT,374,Department of Bachelor  of Business Administration,373,UG,1
