SchoolID, TeacherID, SubjectID, SubjectCode, SubjectName, YearID, DivisionID, Division, SemesterID, Semester, BranchID, Branch,DepartmentID, Department, CourseLevel, AcademicYear
COEP,410306023,292,ME-11002,Engineering Graphics,10,4290,Div-1,62,Summer I,8,Metallurgical Engineering,3,,UG,2014
COEP,410306023,292,ME-11002,Engineering Graphics,10,4290,Div-1,63,Summer I,9,Production Engineering (Sandwich),2,,UG,2014
COEP,410306023,292,ME-11002,Engineering Graphics,10,4295,Div-6,58,Summer I,3,Computer Engineering,8,,UG,2014
COEP,4105008007,521,PE-15008,Product and System Graphics Laboratory,11,4290,Div-1,73,Semester III,9,Production Engineering (Sandwich),2,,UG,2015
COEP,4105008002,512,PE-15004,Production Processes,11,4290,Div-1,73,Semester III,9,Production Engineering (Sandwich),2,,UG,2015
COEP,4105008002,519,PE-15007,Production Processes Laboratory,11,4290,Div-1,73,Semester III,9,Production Engineering (Sandwich),2,,UG,2015
COEP,411307049,543,MM-12001,Material Science and Technology,11,4290,Div-1,73,Semester III,9,Production Engineering (Sandwich),2,,UG,2015
COEP,411307049,544,MM-12002,Material Science and Technology Laboratory ,11,4290,Div-1,73,Semester III,9,Production Engineering (Sandwich),2,,UG,2015
COEP,410225004,446,MA-12004,Engineering Mathematics-III,11,4290,Div-1,73,Semester III,9,Production Engineering (Sandwich),2,,UG,2015
COEP,410901022,449,CE-15002,Strength of Materials,11,4290,Div-1,73,Semester III,9,Production Engineering (Sandwich),2,,UG,2015
COEP,411325047,448,MA-12005,Foundation of Mathematics-I,11,4290,Div-1,73,Semester III,9,Production Engineering (Sandwich),2,,UG,2015
COEP,410906022,546,ME-15002,Theory of Machines Laboratory,11,4290,Div-1,73,Semester III,9,Production Engineering (Sandwich),2,,UG,2015
COEP,411008012,529,LL-12001,Liberal Learning Course,11,4290,Div-1,73,Semester III,9,Production Engineering (Sandwich),2,,UG,2015
COEP,410003003,291,EE-11001,Basic Electrical Engineering ,10,4290,Div-1,63,Summer I,9,Production Engineering (Sandwich),2,,UG,2014
COEP,410003003,291,EE-11001,Basic Electrical Engineering ,10,4290,Div-1,62,Summer I,8,Metallurgical Engineering,3,,UG,2014
COEP,410003003,291,EE-11001,Basic Electrical Engineering ,10,4290,Div-1,61,Summer I,7,Mechanical Engineering,4,,UG,2014
COEP,410003003,291,EE-11001,Basic Electrical Engineering ,10,4290,Div-1,57,Summer I,2,Civil Engineering,9,,UG,2014
COEP,410003003,413,EE-11003,Basic Electrical Engineering,10,4295,Div-6,55,Summer I,4,Electronics and Telecommunication Engineering ,6,,UG,2014
COEP,4198005005,503,IE-12003,Electrical Measurement and Instrumentation,11,4290,Div-1,72,Semester III,6,Instrumentation and Control Engineering ,5,,UG,2015
COEP,4198005005,506,IE-12006,Electrical Measurement and Instrumentation Laboratory,11,4290,Div-1,72,Semester III,6,Instrumentation and Control Engineering ,5,,UG,2015
COEP,411104027,458,ET-12002,Digital System Design,11,4290,Div-1,66,Semester III,4,Electronics and Telecommunication Engineering ,6,,UG,2015
COEP,411104027,462,ET-12006,Digital System Design Lab,11,4290,Div-1,66,Semester III,4,Electronics and Telecommunication Engineering ,6,,UG,2015
COEP,411004020,456,ET-12001,Electonic Devices and Circuits,11,4290,Div-1,66,Semester III,4,Electronics and Telecommunication Engineering ,6,,UG,2015
COEP,411004020,461,ET-12005,Electronic Devices and Circuits Lab,11,4290,Div-1,66,Semester III,4,Electronics and Telecommunication Engineering ,6,,UG,2015
COEP,411304045,460,ET-12004,Network Synthesis and Analog Filters,11,4290,Div-1,66,Semester III,4,Electronics and Telecommunication Engineering ,6,,UG,2015
COEP,411304045,463,ET-12007,Network Synthesis and Analog Filters Lab,11,4290,Div-1,66,Semester III,4,Electronics and Telecommunication Engineering ,6,,UG,2015
COEP,4108004002,459,ET-12003,Signals and Systems,11,4290,Div-1,66,Semester III,4,Electronics and Telecommunication Engineering ,6,,UG,2015
COEP,4100001014,451,CE-15003,Concrete Technology,11,4290,Div-1,65,Semester III,2,Civil Engineering,9,,UG,2015
COEP,4193001013,552,CE-15008,Fluid Mechanics-I,11,4290,Div-1,65,Semester III,2,Civil Engineering,9,,UG,2015
COEP,411401091,553,CE-15009,Strength of Materials,11,4290,Div-1,65,Semester III,2,Civil Engineering,9,,UG,2015
COEP,4193001013,550,CE-15007,Fluid Mechanics-I Laboratory,11,4290,Div-1,65,Semester III,2,Civil Engineering,9,,UG,2015
COEP,411303042,516,MT-12004,Electrical & Instrumentation Technology,11,4290,Div-1,74,Semester III,8,Metallurgical Engineering,3,,UG,2015
COEP,411303042,526,MT-12008,Electrical & Instrumentation Technology Laboratory,11,4290,Div-1,74,Semester III,8,Metallurgical Engineering,3,,UG,2015
COEP,410525005,446,MA-12004,Engineering Mathematics-III,11,4290,Div-1,74,Semester III,8,Metallurgical Engineering,3,,UG,2015
COEP,4198001012,513,MT-12003,Geology & Ore Dressing,11,4290,Div-1,74,Semester III,8,Metallurgical Engineering,3,,UG,2015
COEP,4198001012,524,MT-12007,Geology & Ore Dressing Laboratory,11,4290,Div-1,74,Semester III,8,Metallurgical Engineering,3,,UG,2015
COEP,4198007001,511,MT-12002,Principles Of Physical Metallurgy,11,4290,Div-1,74,Semester III,8,Metallurgical Engineering,3,,UG,2015
COEP,4198007001,520,MT-12005,Principles Of Physical Metallurgy Laboratory ,11,4290,Div-1,74,Semester III,8,Metallurgical Engineering,3,,UG,2015
COEP,410907012,508,MT-12001,Structure & Properties Of Materials ,11,4290,Div-1,74,Semester III,8,Metallurgical Engineering,3,,UG,2015
COEP,410907012,522,MT-12006,Structures And Properties Of Material Laboratory ,11,4290,Div-1,74,Semester III,8,Metallurgical Engineering,3,,UG,2015
COEP,410803011,478,EE-12005,Electrical and Electronics Measurements,11,4290,Div-1,69,Semester III,1,Electrical Engineering,7,,UG,2015
COEP,410003003,474,EE-12002,Electrical Circuit Analysis,11,4290,Div-1,69,Semester III,1,Electrical Engineering,7,,UG,2015
COEP,419803009,480,EE-15001,Measurement Lab,11,4290,Div-1,69,Semester III,1,Electrical Engineering,7,,UG,2015
COEP,410003004,477,EE-12004,Numerical Methods and Computer Programming Lab,11,4290,Div-1,69,Semester III,1,Electrical Engineering,7,,UG,2015
COEP,411003023,475,EE-12003,Solid State Devices and Linear Circuit lab,11,4290,Div-1,69,Semester III,1,Electrical Engineering,7,,UG,2015
COEP,411003023,473,EE-12001,Solid State Devices and Linear Circuits,11,4290,Div-1,69,Semester III,1,Electrical Engineering,7,,UG,2015
COEP,410325003,446,MA-12004,Engineering Mathematics-III,11,4290,Div-1,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,410325003,446,MA-12004,Engineering Mathematics-III,11,4291,Div-2,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,410906024,517,ME-12001,Engineering Thermodynamics,11,4290,Div-1,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,410306013,523,ME-12002,Machine Drawing and Computer Graphics ,11,4290,Div-1,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,411008012,537,PE-12002,Manufacturing Engineering - I Lab,11,4290,Div-1,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,411008012,532,PE-12001,Manufacturing Engineering-I ,11,4290,Div-1,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,4196001008,449,CE-15002,Strength of Materials,11,4290,Div-1,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,411401091,536,CE-12001,Strength of Materials Lab,11,4290,Div-1,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,410306013,530,ME-12003,Machine Drawing and Computer Graphics Lab,11,4290,Div-1,71,Semester III,7,Mechanical Engineering,4,,UG,2015
COEP,4199006011,528,ME-15001,Engineering Thermodynamics Lab,11,4290,Div-1,71,Semester III,7,Mechanical Engineering,4,,UG,2015
