SchoolID, SubjectID, SubjectCode, Subject, SubjectType, SubjectShortName, SubjectCredit
COEP,517,ME-12001,Engineering Thermodynamics,Theory,ET,3
COEP,519,PE-15007,Production Processes Laboratory,Laboratory,PP LAB,1
COEP,520,MT-12005,Principles Of Physical Metallurgy Laboratory ,Laboratory,PPM Lab,1
COEP,521,PE-15008,Product and System Graphics Laboratory,Laboratory,PSG LAB,2
COEP,521,PE-15008,Product and System Graphics Laboratory,Laboratory,PSG LAB,1
COEP,522,MT-12006,Structures And Properties Of Material Laboratory ,Laboratory,SPM Lab,1
COEP,523,ME-12002,Machine Drawing and Computer Graphics ,Theory,MDCG,2
COEP,524,MT-12007,Geology & Ore Dressing Laboratory,Laboratory,GOD Lab,1
COEP,526,MT-12008,Electrical & Instrumentation Technology Laboratory,Laboratory,EIT Lab,1
COEP,528,ME-15001,Engineering Thermodynamics Lab,Laboratory,ET Lab,1
COEP,529,LL-12001,Liberal Learning Course,Theory,LLC,1
COEP,530,ME-12003,Machine Drawing and Computer Graphics Lab,Laboratory,MDCG LAB,2
COEP,532,PE-12001,Manufacturing Engineering-I ,Theory,ME-1,3
COEP,533,CT-12003,Discrete Structures and Graph Theory,Theory,DSGT,3
COEP,534,CT-12004,Digital System Laboratory ,Laboratory,DS Lab,2
COEP,535,CT-12005,Data Structure Laboratory,Laboratory,Data Stucture Lab,2
COEP,536,CE-12001,Strength of Materials Lab,Laboratory,SOM-Lab,1
COEP,537,PE-12002,Manufacturing Engineering - I Lab,Laboratory,ME-1 Lab,1
COEP,538,ETC(ILE)-12001,Principles of Electronics Communication,Theory,PEC,3
COEP,539,ICE(ILE)-12001,Engineering Instrumentation,Theory,EI,3
COEP,540,AS(ILE)-12001,Analytical  Instrumentation and Laboratory Management,Theory,AILM,3
COEP,541,AS(ILE)-11001,Advanced Engineering Materials,Theory,AEM,3
COEP,542,EE(ILE)-12001,Electrical Technology,Theory,ET,3
COEP,543,MM-12001,Material Science and Technology,Theory,MST,4
COEP,544,MM-12002,Material Science and Technology Laboratory ,Laboratory,MST LAB,1
COEP,545,ME-15001,Theory of Machines,Theory,TOM,3
COEP,546,ME-15002,Theory of Machines Laboratory,Laboratory,TOM LAB,1
COEP,547,CE-15004,Building construction drawing studio,Laboratory,BCD,1
COEP,548,CE-15005,Strength of materials laboratory,Laboratory,SOM LAB,2
COEP,548,CE-15005,Strength of materials laboratory,Laboratory,SOM LAB,1
COEP,548,CE-15005,Strength of materials laboratory,Laboratory,SOM LAB,1
COEP,549,CE-15006,Concrete Technology Laboratory,Laboratory,CT LAB,1
COEP,550,CE-15007,Fluid Mechanics-I Laboratory,Laboratory,FM- I LAB,1
COEP,552,CE-15008,Fluid Mechanics-I,Theory,FM-I,3
COEP,553,CE-15009,Strength of Materials,Theory,SOM,3
COEP,556,LL-14001,Agriculture,Tutorial,AGRI,1
COEP,557,LL-12002,Business ,Tutorial,Busi,1
COEP,558,LL-12003,Defence,Tutorial,Defe,1
COEP,559,LL-12004,Education,Tutorial,Edu,1
COEP,560,LL-12005,Fine Arts,Tutorial,FA,1
COEP,561,LL-12006,Language,Tutorial,Lang,1
COEP,562,LL-12007,Medicine & Health,Tutorial,Med ,1
COEP,563,LL-12008,Performing Arts,Tutorial,PA,1
COEP,564,LL-12009,Philosophy,Tutorial,Phil,1
COEP,565,LL-12010,Social Sciences,Tutorial,Soc,1
COEP,566,EVE(ILE)-15001,Embedded System Design,Theory,ESD,3
COEP,567,EVE-15001,Selected Topics in Mathematics,Theory,Maths,4
COEP,568,EVE-15002,RTL Simulation and Synthesis with PLDs,Theory,RTLSSP,3
COEP,569,EVE-15003,Microcontrollers and Programmable Digital Signal Processors,Theory,MPDSP,3
COEP,570,EVE(DE)-15001,Communication Networks,Theory,CN,3
COEP,570,EVE(DE)-15001,Communication Networks,Theory,CN,3
COEP,571,EVE(DE)-15002,Digital Signal and Image Processing,Theory,DS&IP,3
COEP,571,EVE(DE)-15002,Digital Signal and Image Processing,Theory,DS&IP,3
COEP,572,EVE(DE)-15003,Programming Languages for Embedded Software,Theory,PLES,3
COEP,573,EVE-15004,RTL Simulation and Synthesis with PLDs Lab ,Laboratory,RTLSSPL,1
COEP,574,EVE-15005,Microcontrollers and Programmable Digital Signal Processors Lab,Laboratory,MPDSPL,1
COEP,579,EVE-15009,Seminar,Seminar,Seminar,1
COEP,582,ERP(DE)-15001,ABAP,Theory,ABAP,3
COEP,583,ME-15003,Computer Aided Engineering Drawing Laboratory,Laboratory,CAED Lab,1
COEP,585,EDE-15001,Advanced Topics in Computer Architecture,Theory,ACA,3
COEP,586,EDE-15002,Digital Design and Verification,Theory,DDV,3
COEP,587,EDE-15003,Image Processing and Computer Vision,Theory,IPCV,3
COEP,588,EDE-15004,Mathematics for Digital Systems,Theory,MDS,3
COEP,589,EDE-15005,Advanced Topics in Computer Architecture Lab,Laboratory,ACAL,1
COEP,590,EDE-15006,Digital Design and Verification Lab,Laboratory,DDVL,2
COEP,591,EDE-15007,Image Processing and Computer Vision Lab,Laboratory,IPCVL,1
COEP,592,EDE-15008,Seminar,Seminar,SEMI,1
COEP,596,MA-15006,Statistical and quantitative methods in Planning I,Theory,SQMP,3
COEP,597,BP-15001,Fundamentals of Building Structures,Theory,FBS,2
COEP,598,BP-15002,Materials and Principles of Construction,Theory,MPC,2
COEP,599,BP-15003,Materials and Principles of Construction Lab,Laboratory,MPCL,1
COEP,600,AS-15002,Basic Science,Theory,BS,3
COEP,601,BP-15004,Planning and Design Studio - I,Laboratory,PDS,5
COEP,603,EWW-15001,Statistical Information Processing,Theory,SIP,4
COEP,604,EWW(DE)-15001,Cognitive Radio,Theory,CR,3
COEP,605,EWW(DE)-15002,RF and Microwave Circuit Design,Theory,RFMCD,3
COEP,606,EWW-15002,Advanced Communication Networks,Theory,ACN,3
COEP,607,EWW-15003,Wireless and Mobile Communication,Theory,WMC,3
COEP,610,EWW-15006,Advanced Communication Networks Lab,Laboratory,ACNL,1
COEP,611,EWW-15007,Wireless and Mobile Communication Lab,Laboratory,WMCL,1
COEP,612,EWW-15008,Seminar,Seminar,Seminar,1
COEP,615,ESP-15001,Mathematical Techniques in Signal Processing,Theory,MTSP,4
COEP,616,ESP-15002,DSP Architecture,Theory,DSPA,3
COEP,617,ESP-15003,Multirate and Adaptive Signal Processing,Theory,MASP,3
COEP,618,ESP(DE)-15001,Audio Processing,Theory,AP,3
COEP,620,ESP-15004,DSP Architecture Lab,Laboratory,DSPAL,1
COEP,621,ESP-15005,Multirate and Adaptive Signal Processing Lab,Laboratory,MASPL,1
COEP,622,ESP-15006,Audio Processing Lab,Laboratory,APL,1
COEP,623,ESP-15007,Seminar,Seminar,Seminar,1
COEP,625,COC-15001,"Probability, Statistics and Queuing Theory",Theory,PSQT,3
COEP,626,COC-15002,Topics in Databases,Theory,TDB,3
COEP,627,COC-15003,Advanced Computer  Networks,Theory,ACN,3
COEP,628,COC-15004,Advanced Computer Architecture,Theory,ACA,3
COEP,633,COC-15005,PG Laboratory - I,Laboratory,PGL-I,2
COEP,637,COC-15007,Security in Computing,Theory,SIC,3
COEP,638,COC-15008,Data Mining and Machine Learning,Theory,DM&ML,3
COEP,648,COC-15009,PG Laboratory - II,Laboratory,PGL-II,2
COEP,659,ML-15001,Research Methodology,Theory,RM,0
COEP,660,ML-15002,Humanities,Theory,Humanities,0
COEP,661,EPS-15001,Engineering Optimization,Theory,EO,3
COEP,662,EPS-15002,Power System Analysis,Theory,PSA,4
COEP,663,EPS-15003,Analysis of Electric Machines,Theory,EMA,4
COEP,665,EPS-15004,High Power Converters,Theory,HPC,3
COEP,667,EPS-15005,Simulation Laboratory,Laboratory,SL,3
COEP,669,PME-15001,Robotics and Manufacturing Automation,Theory,RMA,3
COEP,670,PME-15002,Advanced Machine Tool Design,Theory,AMTD,3
COEP,671,PME-15003,"Additive Manufacturing Processes, Machines and Applications",Theory,AMPMA,3
COEP,672,PME-15004,Advanced Manufacturing Laboratory-I,Laboratory,AM LAB,2
COEP,674,PPM-15001,Performance Modelling of Production Systems,Theory,PMPS,3
COEP,676,PPM-15003,Financial Planning and Management,Theory,FPM,3
COEP,677,COC(DE)-15001,Distributed Operating Systems,Theory,DOS,3
COEP,678,COC(DE)-15002,Graphics and Visualization,Theory,GV,3
COEP,679,COC(DE)-15003,Linux Kernel Programming,Theory,LKP,3
COEP,680,MA-15007,"Experimental Design, Data Analysis and Quality Control Lab",Laboratory,EDDA LAB,1
COEP,681,PPM-15004,Software Laboratory-I,Laboratory,SOFT LAB-I,2
COEP,682,MDE-15001,Mathematical Methods in Engineering,Theory,MME,3
COEP,683,MDE-15002,Stress Analysis,Theory,SA,3
COEP,684,PPM-15005,Production and Operations Management,Theory,POM,3
COEP,685,MDE-15003,Computer Aided Design,Theory,CAD,3
COEP,686,MDE-15004,Advanced Vibrations and Acoustics,Theory,AVA,3
COEP,687,MDE-15005,Lab Course,Laboratory,Lab,2
COEP,688,MDE(DE)-15001,Advance Machine Design,Theory,AMD,3
COEP,689,MDE(DE)-15002,Design of Manufacturing and Assembly,Theory,DMA,3
COEP,690,MDE(DE)-15003,Advance Machine Tool Design,Theory,AMTD,3
COEP,691,MDE(DE)-15004,Advance Engineering Materials,Theory,AEM,3
COEP,692,MDE(DE)-15005,Robotics,Theory,Robo,3
COEP,693,MAT-15001,Computational Methods in Engineering,Theory,CME,3
COEP,694,MAT-15002,Automotive Fuels and Emission,Theory,AFE,3
COEP,695,MAT-15003,Automotive Engineering Systems,Theory,AES,3
COEP,696,MAT-15004,Communication Skill and Seminar,Theory,CSS,3
COEP,697,MCH-15001,Principles of Design of Machine Elements,Theory,PDOME,3
COEP,698,MAT-15005,Automotive Lab-I,Laboratory,Auto Lab,2
COEP,699,ETC-15006,Principles of Electronics,Theory,POE,3
COEP,700,MAT(DE)-15001,Automotive Materials and Composites,Theory,AMC,3
COEP,701,MCH-15002,Mechatronics System Design,Theory,MSD,3
COEP,702,MAT(DE)-15002,Combustion Engineering,Theory,CE,3
COEP,703,EE-15002,Power Electronics and Drives,Theory,PED,3
COEP,704,MCH-15003,Mechatronics System Design Laboratory,Laboratory,MSD LAB,1
COEP,705,MAT(DE)-15003,Automotive Tribology,Theory,AT,3
COEP,706,EE-15003,Power Electronics and Drives Laboratory,Laboratory,PED LAB,1
COEP,707,MAT(DE)-15004,Automotive Safety and Lighting,Theory,ASL,3
COEP,710,MAT(DE)-15005,Hybrid and Electric Vehicles,Theory,HEV,3
COEP,711,MAT(DE)-15006,Automotive NVH,Theory,Auto NVH,3
COEP,712,MAT(DE)-15007,Modeling of Automotive Systems,Theory,MoAS,3
COEP,714,MHP-15001,Mathematical Methods in Engineering,Theory,MME,3
COEP,715,MHP-15002,Thermodynamics  and Combustion,Theory,TC,3
COEP,716,MHP-15003,Fluid Dynamics,Theory,FD,3
COEP,717,MHP-15004,Advanced Refrigeration and Cryogenics,Theory,ARC,3
COEP,720,MHP-15005,Advance Heat Transfer,Theory,AHT,3
COEP,721,MHP-15006,Thermal Engineering Lab Practice,Laboratory,TE Lab,2
COEP,722,ECE-15001,Linear System Theory and Design,Theory,LSTD,3
COEP,723,ECE-15002,Modeling of Dynamic System,Theory,MDS,3
COEP,724,ECE-15003,Nonlinear Dynamic Systems,Theory,NLDS,4
COEP,725,ECE-15004,Digital Control System,Theory,DCS,4
COEP,726,ECE-15005,PG Simulation Lab,Laboratory,Simulation Lab,3
COEP,730,EW-15001,Advanced Hydraulics and Hydrology,Theory,AHH,4
COEP,731,EW-10001,Advanced Treatment of Water and Waste Water,Theory,ATWWW,4
COEP,732,EW-10002,Water Resource and Environmental Engineering Laboratory-I,Laboratory,PGL,2
COEP,736,EW-10003,Seminar/Project,Seminar,CS-I,1
COEP,743,CSE-15002,Solid Mechanics,Theory,SM,3
COEP,744,CSE-15003,Theory of Thin Plates and Shells,Theory,TTPS,3
COEP,745,CSE-15004,Advanced Analysis of Structures,Theory,AAS,3
COEP,749,CSE-15005,Lab Practice-I,Theory,SELP-I,3
COEP,749,CSE-15005,Lab Practice-I,Theory,SELP-I,3
COEP,750,CM-15001,Construction Equipment & Machinery ,Theory,CEM,4
COEP,751,CM-15002,Construction Materials and Materials Management,Theory,CMMM,4
COEP,752,CM(DE)-15001,Professional Practice in Construction,Theory,PPC,3
COEP,753,CM-15003,Post Graduate Lab-I,Laboratory,PGL-I,3
COEP,755,CSE-15006,Structural Dynamics,Theory,STD,3
COEP,756,CM-15004,Probability and Data Analysis,Theory,PDA,4
COEP,757,CGE-15001,Soil Engineering - I,Theory,SE-I,3
COEP,758,CGE-15002,Earth Dam and Retaining Structures,Theory,EDRS,3
COEP,763,MPH-15001,Mathematical Modeling in Metallurgical Processes,Theory,MMMP,4
COEP,766,MPH-15002,Theory and Practice of Sintering,Theory,TPS,3
COEP,767,MPH-15003,Corrosion Engineering,Theory,CE,3
COEP,768,MPH-06001,Phase Transformations,Theory,PT,4
COEP,769,MPH-06002,Lab Practice 1,Laboratory,LP 1,1
COEP,770,MPH-06003,Seminar 1,Seminar,S 1,1
COEP,778,MPR-11001,Concepts in Materials Science,Theory,CMS,3
COEP,779,MPR-15001,Theory and Practice of Sintering,Theory,TPS,3
COEP,781,MPR-06002,Advances in Iron and Steel Making,Theory,AISM,4
COEP,782,MPR-06003,Lab Practice 1,Laboratory,LP 1,1
COEP,783,MPR-06004,Seminar 1,Seminar,S 1,1
COEP,786,CM-15005,Laboratory-I,Laboratory,PGL,3
COEP,788,CGE-15004,FEM in Geomechanics,Theory,FEMG,3
COEP,790,CGE(ILE)-15001,Environmental Geotechnology,Theory,EG,3
COEP,791,CSE-15007,Structural Engineering Lab Practice-I,Theory,SELP-I,3
COEP,792,CGE-15005,Geotechnical Engineering Lab Practice-I,Laboratory,GELP-I,4
COEP,795,EW(DE)-15001,Channel and River Hydraulics,Theory,CRH,3
COEP,796,EW-15002,Seminar,Seminar,Seminar,1
COEP,797,EW(DE)-15002,Design of Reactors and Environmental Chemistry,Theory,DREC,3
COEP,798,ICE-15001,Transducers Design,Theory,TD,3
COEP,799,ICE-15002,Instrument Design Engineering,Theory,IDE,3
COEP,800,IPI-15001,Modern Control Theory,Theory,MCT,3
COEP,801,TCP-15001,Quantitative Methods in Urban Planning ,Theory,QMUP,3
COEP,802,ICE-15003,Lab Course,Laboratory,LC,4
COEP,803,TCP-15002,Planning History and Theories,Theory,PHT,3
COEP,804,ICE-15004,Seminar,Seminar,Seminar,1
COEP,805,IPI-15002,Advanced Process Instrumentation,Theory,API,3
COEP,806,TCP-15003,Socio-Economic Basis of Planning,Theory,SEBP,3
COEP,807,TCP-15004,Traffic and Transportation Planning ,Theory,TTP,3
COEP,808,IPI-15003,Advanced Control System,Theory,ACS,3
COEP,809,TCP-15005,Planning Studio-I,Laboratory,PS-I,4
COEP,810,TCP(DE)-15001,Rural Development and Inclusive Planning,Theory,RDIP,3
COEP,811,IPI(DE)-15001,Industrial Automation ,Theory,IA,3
COEP,812,IPI(DE)-15002,Process Modeling and Optimization,Theory,PMO,3
COEP,813,IPI(DE)-15003,Smart Cities Instrumentation and Automation,Theory,SCIA,3
COEP,814,IPI(DE)-15004,Batch Process Control,Theory,BPC,3
COEP,815,IPI(DE)-15005,Process System Engineering,Theory,PSE,3
COEP,816,IPI(DE)-15006,Process  Dynamics and Identification,Theory,PDI,3
COEP,817,IPI(DE)-15007,Soft Computing,Theory,SC,3
COEP,818,IPI(DE)-15008,Optical Instrumentation,Theory,OI,3
COEP,819,ICE(DE)-15001,Embedded System,Theory,ES,3
COEP,820,ICE-15005,M. Tech Dissertation I,Project,Dissertation I,16
COEP,821,ICE-15006,M. Tech Dissertation II,Project,Dissertation II,18
COEP,822,IBI-15001,Anatomy and Physiology,Theory,AP,3
COEP,823,IBI-15002,Biomedical Signal Processing,Theory,BSP,3
